194001,51.7,-9.4
194101,59.3,-1.8
194201,57.8,-3.3
194301,62.4,1.3
194401,59.1,-2.0
194501,59.3,-1.8
194601,63.3,2.2
194701,69.1,8.0
194801,58.2,-2.9
194901,67.2,6.1
195001,69.5,8.4
195101,61.2,0.1
195201,64.6,3.5
195301,62.3,1.2
195401,63.5,2.4
195501,59.9,-1.2
195601,56.4,-4.7
195701,65.8,4.7
195801,53.6,-7.5
195901,59.3,-1.8
196001,60.6,-0.5
196101,57.0,-4.1
196201,60.8,-0.3
196301,59.5,-1.6
196401,59.1,-2.0
196501,60.1,-1.0
196601,58.5,-2.6
196701,63.8,2.7
196801,60.9,-0.2
196901,60.0,-1.1
197001,55.2,-5.9
197101,60.8,-0.3
197201,67.8,6.7
197301,62.6,1.5
197401,71.8,10.7
197501,65.8,4.7
197601,57.4,-3.7
197701,52.5,-8.6
197801,56.3,-4.8
197901,58.7,-2.4
198001,63.6,2.5
198101,52.0,-9.1
198201,61.4,0.3
198301,60.1,-1.0
198401,58.5,-2.6
198501,56.4,-4.7
198601,59.8,-1.3
198701,59.7,-1.4
198801,59.1,-2.0
198901,67.6,6.5
199001,66.5,5.4
199101,67.2,6.1
199201,60.3,-0.8
199301,67.7,6.6
199401,61.3,0.2
199501,59.5,-1.6
199601,59.9,-1.2
199701,63.2,2.1
199801,64.3,3.2
199901,64.4,3.3
200001,62.0,0.9
200101,55.8,-5.3
200201,63.7,2.6
200301,55.4,-5.7
200401,60.2,-0.9
200501,63.2,2.1
200601,63.2,2.1
200701,65.5,4.4
200801,62.7,1.6
200901,61.8,0.7
201001,55.3,-5.8
201101,59.4,-1.7
201201,63.7,2.6
201301,67.8,6.7
201401,57.8,-3.3
201501,63.0,1.9
201601,60.9,-0.2
201701,66.3,5.2
201801,59.7,-1.4
201901,61.0,-0.1
202001,65.3,4.2
202101,61.7,0.6
